                              signal_alias                              |                                                                                signal_name                          
------------------------------------------------------------------------+----------------------------------------------------------------------------------------------------------------------
 MAGNETICS/IDS_PROPERTIES/HOMOGENEOUS_TIME                              | EFITMAGXML::put(value=0, type=int, unique=0)
 MAGNETICS/FLUX_LOOP/SHAPE_OF                                           | EFITMAGXML::get(xmlfile=magnetics.xml, XPath=count(//fluxLoops/fluxLoop)
 MAGNETICS/FLUX_LOOP/1/NAME                                             | EFITMAGXML2::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=1]/timeTrace/@signalName,/string_1d, unique=2)
 MAGNETICS/FLUX_LOOP/1/IDENTIFIER                                       | EFITMAGXML2::put(value=1, type=string_1d, unique=3)
 MAGNETICS/FLUX_LOOP/2/NAME                                             | EFITMAGXML2::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=2]/timeTrace/@signalName,/string_1d, unique=4)
 MAGNETICS/FLUX_LOOP/2/IDENTIFIER                                       | EFITMAGXML2::put(value=2, type=string_1d, unique=5)
 MAGNETICS/FLUX_LOOP/3/NAME                                             | EFITMAGXML2::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=3]/timeTrace/@signalName,/string_1d, unique=6)
 MAGNETICS/FLUX_LOOP/3/IDENTIFIER                                       | EFITMAGXML2::put(value=3, type=string_1d, unique=7)
 MAGNETICS/FLUX_LOOP/4/NAME                                             | EFITMAGXML2::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=4]/timeTrace/@signalName,/string_1d, unique=8)
 MAGNETICS/FLUX_LOOP/4/IDENTIFIER                                       | EFITMAGXML2::put(value=4, type=string_1d, unique=9)
 MAGNETICS/FLUX_LOOP/5/NAME                                             | EFITMAGXML2::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=5]/timeTrace/@signalName,/string_1d, unique=10)
 MAGNETICS/FLUX_LOOP/5/IDENTIFIER                                       | EFITMAGXML2::put(value=5, type=string_1d, unique=11)
 MAGNETICS/FLUX_LOOP/6/NAME                                             | EFITMAGXML2::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=6]/timeTrace/@signalName,/string_1d, unique=12)
 MAGNETICS/FLUX_LOOP/6/IDENTIFIER                                       | EFITMAGXML2::put(value=6, type=string_1d, unique=13)
 MAGNETICS/FLUX_LOOP/7/NAME                                             | EFITMAGXML2::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=7]/timeTrace/@signalName,/string_1d, unique=14)
 MAGNETICS/FLUX_LOOP/7/IDENTIFIER                                       | EFITMAGXML2::put(value=7, type=string_1d, unique=15)
 MAGNETICS/FLUX_LOOP/8/NAME                                             | EFITMAGXML2::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=8]/timeTrace/@signalName,/string_1d, unique=16)
 MAGNETICS/FLUX_LOOP/8/IDENTIFIER                                       | EFITMAGXML2::put(value=8, type=string_1d, unique=17)
 MAGNETICS/FLUX_LOOP/9/NAME                                             | EFITMAGXML2::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=9]/timeTrace/@signalName,/string_1d, unique=18)
 MAGNETICS/FLUX_LOOP/9/IDENTIFIER                                       | EFITMAGXML2::put(value=9, type=string_1d, unique=19)
 MAGNETICS/FLUX_LOOP/10/NAME                                            | EFITMAGXML2::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=10]/timeTrace/@signalName,/string_1d, unique=20)
 MAGNETICS/FLUX_LOOP/10/IDENTIFIER                                      | EFITMAGXML2::put(value=10, type=string_1d, unique=21)
